User_ID,Country,University,Qualification,Discipline,GPA
429,Pakistan,school,50,biology,50
430,Romania,UBB,"first year, undergraduate",accounting and information keys,none
431,India,Savitribai Phule Pune University,Post Graduation,Bioinformatics,80
432,United states,University of nebraska,high school,medicine,3.3
433,Germany,Hochschule Düsseldorf,Erstes Semester,International Management,0
434,India,Mg University,presentation college of applied sciences,BCA,5.57
435,Indonesia,Binus International JWC,Undergraduate,Computer Science,NA
436,Lebanon,ndu,bachelor,mechanical engineer,3.55
437,United States,Paradise Valley Community College,Associate's,Elementary Education,3.6
438,Canada,Kwantlen Polytechnic University,first year,Access Program for People with Disabilities,n/a
439,Trinidad,Stanford,form 5,Accounting,67
440,Ghana,knust,undergraduate,petrochemical engineering,60%
441,Peru,University,Secundaria completa,Medicina,50
442,India,"National law university, Delhi",Bachelors,B.A.LLB.,5
443,United states,high school,high school,history,2
444,Jamaica,University of the West Indies,BSc.,Political Science,2nd Class Honours
445,selangor,PUO,diploma,information security,3.12
446,Australia,JMC Academy,Bachelor,3D Animation,???
447,Egypt,Arts / Alexandria University,Graduated,Computer science,66
448,malaysia,pusat latihan kemahiran enliten,diploma kemahiran malaysia(DKM),it,83.2
449,Algeria,higher school of computer science,undergraduate,computer science,3
450,pakistan,comsats university lahore,bechulor,bba,2.4
451,USA,University of Texas at Arlington,Sophomore,Nursing,3.4
452,United States,university of north Texas,junior,Electrical Engineering,3
453,italia,university of Padova,master degree,Food technology,95%
454,India,D.A.V Centenary College,Graduate,B. Sc (Computer Science),Not yet
455,St.Charles,Southeast missouri state,Bachelor,Computer Science,3
456,Malaysia,Kubang pasu integrated boarding school,spm,science,3.85
457,Italia,Università Politecnica delle Marche,Second year of a Bachelor's Degree,Economics and Commerce,100/110
458,Canada,OttawaU,University,Health Sciences,89
459,India,MMDU,BHM & CT,Hotel management,7
460,India,ssiu,diploma,computer engineering diploma,6.47
461,Malaysia,Universiti Utara Malaysia,Master,International business,3.84
462,India,Jagan Institute of Management Studies,Undergraduate,Bachelor of Business Administration,75
463,United States,CUNY: Queens College,Bachelor's,Graphic Design,3.78
464,nigeria,University of uyo,400,chemical engineering,2nd class lower
465,South Africa,Nanjing University,Undergraduate,Aeronautical Engineering,60%
466,Indonesia,Ambarrukmo Tourism Institute,8th Semester,Tourism,"3,75"
467,US,UAF,undergrad,Health,3.2
