Headline,Type of opportunity,Discipline,Minimum Qualification / Applicable for,Countries eligible,Location of opportunity,vector
ILO Global Media Competition on Labour Migration 2019 in Geneva,25,31,54,70,148,"[-2.39270729e-01  3.93146708e-01 -2.39096848e-01  8.74666516e-03
  1.07376316e-03 -6.29862694e-02 -1.90098179e-01 -4.93281222e-01
  2.23991068e-01 -2.03217074e-01  3.24278014e-01  1.72408114e-03
 -1.50545747e-01  3.47696171e-02  2.82982795e-01 -1.47140050e-01
  2.87515926e-01  1.89672444e-02 -1.78688413e-01 -5.76949727e-02
  2.08934625e-01 -1.19818139e-01 -8.04242365e-02  1.24923892e-01
 -1.50050626e-01 -9.98362056e-01 -3.53809674e-02 -5.70643354e-01
 -5.30646344e-01  2.82072385e-01  2.69335320e+00  2.40600324e-01
 -3.56814436e-01 -3.44894422e-01 -4.49026617e-01 -2.15640746e-01
  6.42345949e-02 -1.21774386e-01 -5.07831657e-02 -3.49385109e-02
 -9.62549999e-02 -1.39278128e-01  2.48204885e-01 -4.38640713e-02
 -1.33221556e-01  2.68403763e-02 -2.59819292e-01  1.75319253e-01
  4.67877129e-02  6.44420903e-02]"
"Human Rights Day 2019 Photo Contest: Our Rights, Our Caribbean… Leaving No One Behind",25,0,0,81,148,"[ 0.0500369   0.145217   -0.32781166 -0.02420918  0.47745432  0.26504853
  0.25445728 -0.46609897  0.47314497  0.16493117  0.14807735  0.03317993
 -0.04556431 -0.09250652  0.18642094  0.02033714  0.15186227 -0.26486907
  0.38057896 -0.08414114 -0.02996321  0.40576817 -0.14087758 -0.19767465
  0.1741481  -1.26011688 -0.23011352 -0.46557547  0.19160784 -0.04409515
  2.57080931  0.265519   -0.64157656 -0.70174051 -0.56593459 -0.25778496
 -0.00860807 -0.38599255 -0.41451052  0.02851428 -0.22591565 -0.34391066
  0.47920158  0.32707887 -0.18089934  0.18640008 -0.43039226  0.25777704
 -0.10905702 -0.09804727]"
Tsunami Ready Youth Visual Art Competition 2019,25,31,54,92,148,"[ 0.19882868  0.40876188 -0.27564289  0.12198562  0.02278847  0.04654466
 -0.06218348 -0.30601196  0.1467148   0.15543303  0.23561085  0.08055226
  0.13185626 -0.03539315  0.09680583 -0.00287397  0.04315784 -0.08442821
 -0.22883053 -0.15441056  0.06126309  0.06152148 -0.06840964 -0.0574597
  0.23280551 -0.74988802 -0.226821   -0.25432452  0.08194696  0.06860387
  2.40302374  0.24616713 -0.15802937 -0.67585127 -0.22564563  0.03422215
 -0.05143967 -0.05213175 -0.03369912 -0.06659007 -0.06775967 -0.09275318
  0.24330499 -0.04969152 -0.06490522  0.30056894  0.06001116  0.04136598
  0.08688887  0.01726294]"
Global Citizenship Education Storytelling Contest 2019,25,31,0,164,148,"[-0.11382996  0.43842765 -0.17469588 -0.15095645  0.20515814  0.10145494
  0.01905327 -0.68715452  0.01994671  0.07169965  0.15799928  0.04340919
  0.02983706 -0.1545881   0.04371601 -0.08647145  0.23975042  0.17141252
  0.03361022  0.1197044   0.22024227  0.08535229  0.08677084  0.17993711
  0.23759561 -0.79821276 -0.19474295 -0.68170249 -0.1827985   0.03318529
  2.80738951  0.20724374 -0.36502824 -0.61684109 -0.21876187  0.01942316
 -0.08588784  0.06874756  0.03076968  0.04423387  0.02901063 -0.29511894
  0.20850149  0.05422924 -0.24456136  0.19828517  0.11791339  0.24500827
  0.11795013  0.18408408]"
Entries Invited for the First Annual E360 Young Writers Awards,25,74,0,70,148,"[-0.04723966  0.62537572 -0.16918508 -0.11322175  0.15968746  0.18538778
 -0.42115498 -0.50193159  0.14687743  0.0532629  -0.16341729  0.0529392
  0.16214442 -0.11484317  0.4317382  -0.22430692  0.10311142  0.00936735
 -0.18422158 -0.30507189  0.23016649  0.04767311  0.26125032 -0.02744474
  0.24235567 -0.87677667 -0.5291874  -0.2456019  -0.12964726 -0.01953556
  2.59206759 -0.18117763 -0.02937552 -0.62647787 -0.07481992  0.07261367
 -0.06643207  0.19213204 -0.18804134 -0.16636946 -0.0043687  -0.11349491
  0.16082394  0.25158866 -0.17536119  0.04510807  0.01621598  0.06987531
 -0.19880278 -0.01350049]"
AFD Digital Project Challenges 2019- For Development of Sustainable Cities in Africa,25,62,0,267,76,"[ 3.14906102e-01  8.66989759e-02  1.27454044e-01  7.22575310e-02
  2.82551282e-02  7.33889297e-02 -1.02826464e-01 -5.13043939e-01
  2.15819670e-01  2.38864072e-01  2.04105587e-01 -1.36481239e-03
 -1.38550162e-01 -3.04492274e-02 -1.81911359e-01  1.71175366e-01
  2.47272423e-01  6.61129945e-02  1.59977846e-01 -2.07974176e-01
  2.85471577e-01 -8.45034486e-02 -2.08525040e-01 -7.54068582e-02
  6.44650788e-02 -8.50697000e-01 -1.15753073e-01 -3.89567241e-01
  1.62691775e-01  2.40515264e-01  2.76509192e+00  2.77223894e-01
 -1.49719119e-01 -8.27091328e-01 -7.45822908e-02  1.52756108e-02
 -2.10112074e-01  2.05489669e-01 -2.61305233e-01 -6.32763747e-02
 -2.29174339e-01 -2.16061977e-01  2.02310048e-01  4.03319558e-02
 -1.28194671e-01  7.77392948e-02 -4.52122603e-02  3.29109244e-01
  1.17204105e-01  1.93362484e-01]"
YICA World HIV Day 2019 Essay and Artists Competition,25,0,54,275,2,"[ 0.30342603  0.1184032  -0.16383429 -0.33051242  0.08260104  0.24773852
 -0.16807083 -0.5632031   0.52829765  0.06603989  0.19372318 -0.175507
  0.0834806  -0.14123815  0.06515105 -0.05379312  0.0327864   0.05436638
  0.15700689  0.0108839  -0.01395083  0.25488708  0.07358652  0.18199182
 -0.00516752 -1.06757186 -0.05139372 -0.50150287 -0.09749724  0.21019873
  2.72598225  0.41119277 -0.26491924 -0.75657387 -0.2140381   0.00825197
 -0.05976789 -0.03872136 -0.05045539 -0.03081601 -0.3036948  -0.25392033
  0.30698604  0.22847685  0.4537112   0.05945069 -0.16312959  0.22917676
  0.04634926  0.2358141 ]"
The 2020 Year of ASEAN Identity Logo Design Competition for ASEAN Youths,25,0,0,231,148,"[ 7.95042604e-02  3.39434776e-01 -1.10398880e-01 -1.56535900e-03
  2.65310375e-01 -4.79288171e-02 -1.33930620e-01 -4.42137628e-01
  2.54883973e-02 -1.69923332e-01  3.60469008e-01  3.47119938e-03
 -1.29944069e-01  9.30623999e-02  2.43144611e-01  2.47885114e-03
  2.77366483e-03  8.17746287e-02  5.07595438e-02  1.26499188e-03
  2.44783031e-01 -1.04915333e-01  1.20049706e-01  1.05563434e-01
 -1.16633579e-01 -7.55597122e-01 -2.68893033e-02 -4.01081589e-01
 -3.80343642e-01  6.17869638e-02  2.33363692e+00  3.31845848e-01
 -3.58592038e-01 -3.19642224e-01 -1.01460379e-01 -1.55931503e-01
  2.78134787e-02  2.86718256e-02 -2.60379426e-01 -1.15627132e-02
 -2.73752203e-01 -4.29263618e-01  2.73194483e-01 -1.26067747e-01
 -7.12724185e-02 -2.40994122e-02 -1.31314271e-01  1.36038755e-01
  3.05278271e-02 -9.31957896e-02]"
World Nomads Travel Photography Scholarship 2020,25,0,6,70,148,"[-1.31473895e-01  4.90130176e-01 -2.66521745e-01 -1.20687607e-01
  1.86625054e-01 -1.43802538e-01 -4.31662851e-01 -8.34176994e-02
  7.12559445e-02  2.45231646e-01  1.31070189e-01  1.18634208e-01
 -7.20494522e-02  2.34508789e-02  2.55528351e-01 -1.07945933e-01
  2.85171764e-01  1.46090271e-01 -2.73814130e-01 -1.66525338e-01
  1.57219991e-01  2.19384698e-01 -1.56160109e-01  7.03273320e-02
  3.44315253e-01 -9.99343816e-01 -4.38250325e-01 -4.75470824e-01
 -7.01430172e-02 -1.24529146e-01  2.10591800e+00  4.06431715e-01
 -2.89079229e-01 -3.87698743e-01 -6.04987805e-02  1.13751593e-01
 -1.43360351e-01  3.68966366e-01 -2.17791730e-01 -2.78131824e-01
 -1.69949866e-02 -8.06583332e-02 -2.97757819e-02  9.34125388e-02
 -4.90798253e-02 -1.71502859e-02  6.97548374e-02 -7.70118087e-02
 -1.63602138e-01  6.94014502e-04]"
Nobrow Short Story Competition 2019,25,0,0,70,148,"[ 0.0246055   0.45445394 -0.36166693 -0.23533635  0.22129981  0.22065902
 -0.43732648 -0.42673701 -0.01616181  0.36177287 -0.25081669  0.20754392
 -0.19047362  0.0557121   0.43028702 -0.38024019  0.10200769  0.08659109
 -0.20644546 -0.16041739  0.33621669  0.21890898  0.18969659  0.18880157
  0.4537763  -0.8629595  -0.82595866 -0.16842283  0.08441388 -0.22252142
  2.35834509 -0.15253848  0.0290475  -0.41487006 -0.18547521  0.17822105
 -0.03244945  0.32727313 -0.36290796 -0.24096667  0.23328121 -0.09292411
 -0.09224958  0.02491782 -0.16709209  0.19380354  0.10833047 -0.10294337
 -0.14915509  0.07382162]"
Blueprints 5.0- An International Financial Case Competition in Bangladesh,25,62,14,148,30,"[ 0.0870439   0.12916168 -0.1122358   0.23981594 -0.04485937 -0.003809
 -0.33145203 -0.22185023  0.19061391 -0.01885177  0.0788674  -0.13928892
 -0.372425    0.05854729  0.26615189 -0.1293065   0.04965802  0.11337629
 -0.21988299 -0.42906066  0.49099827  0.08494067  0.00521895  0.0305063
 -0.11561548 -0.97236144 -0.15399219 -0.44394417 -0.22346831 -0.09937332
  2.96523347  0.32228924 -0.18637651 -0.45975923  0.10323179  0.09008466
  0.03496469  0.38383088 -0.16246277 -0.29280756 -0.17888097 -0.3388391
  0.25438049  0.13470766  0.05918582  0.07486202  0.09379179  0.3090626
 -0.07053433  0.0929869 ]"
MIT Enterprise Forum Arab Startup Competition 2019-20 (Funds Available),25,62,0,70,148,"[-1.14593244e-02  4.08689903e-01 -2.15592210e-02  1.59737712e-01
 -1.38062378e-01 -1.41594299e-01 -3.29321012e-01 -4.77071023e-01
  1.63724062e-01  9.57919456e-02  9.61604465e-02 -9.48260586e-03
 -1.35991260e-01  1.09505110e-01  2.29773246e-03 -1.09460633e-01
  3.55804429e-01  2.87851077e-01 -9.88050119e-02 -5.41439509e-02
  4.01475164e-01 -1.32159967e-01  3.25425626e-03  1.21282986e-01
 -1.43548508e-01 -7.08210736e-01 -1.76528365e-01 -5.76076886e-01
 -3.65637204e-01  8.31435230e-02  2.41065716e+00  3.90069485e-01
 -2.10910616e-01 -3.77248022e-01 -2.09213017e-01  6.41406060e-03
 -3.19764263e-01  2.09040463e-01 -6.32107675e-02 -2.16339112e-01
 -1.32723305e-01 -3.61221194e-01  7.66380645e-02  1.37303064e-01
  1.12518412e-02 -5.46932879e-02 -2.06554016e-03  2.12451766e-01
 -5.67044805e-02  8.79476770e-02]"
ICN-WBG Competition Advocacy Contest 2019-2020,25,0,0,70,148,"[ 9.53026128e-02  5.50061434e-02 -2.20978452e-01  1.64930272e-01
 -1.16990233e-01  1.36570115e-01 -8.73816769e-02 -4.09854050e-01
  3.35283244e-01  9.61003527e-02  2.51574162e-01  1.61346418e-03
 -2.47330980e-01  1.31515935e-01  5.46696293e-02 -3.39129504e-02
  2.42702617e-01  7.19183597e-02  9.67371240e-02 -2.70175741e-01
  4.17904623e-01 -8.90803688e-02 -9.94341947e-02  8.39876278e-02
 -1.87784289e-01 -9.25444370e-01 -9.12638698e-02 -4.17162241e-01
 -1.96057956e-01  1.28419795e-01  2.60520209e+00  4.19086102e-01
 -2.19378195e-01 -6.91596851e-01 -3.83584968e-01 -1.12313018e-01
 -1.32115371e-01  5.45765279e-02 -2.82581261e-01 -1.76556511e-01
 -2.48536048e-01 -3.94960183e-01  2.51122370e-01  1.39682339e-01
 -4.50524900e-02 -2.83811050e-02 -2.12284949e-01  3.35576936e-01
  1.06553694e-01  1.66348005e-01]"
IKEI International Photo Contest 2019,25,0,0,70,148,"[ 0.07593989  0.37763507 -0.07426095  0.14230567  0.1145909   0.07054844
 -0.31680822 -0.3841181   0.1849814   0.04454549  0.00930066 -0.11432272
 -0.17355963  0.02972644  0.36371896 -0.24889702 -0.11876689  0.02904105
 -0.31409312 -0.33896627  0.50124491  0.05060202  0.08753522  0.04516564
 -0.05872354 -0.85193971 -0.50522503 -0.395609   -0.1950626   0.05066515
  2.45333056  0.12965132 -0.22451069 -0.46597838 -0.02996563  0.01748605
  0.04204672  0.24341029 -0.2984734  -0.230933    0.07143071 -0.19337469
  0.14495042  0.02521207 -0.11252462  0.01204551  0.06158791  0.07262385
 -0.07061797  0.062497  ]"
IBM Master the Mainframe Virtual Contest 2019 in USA,25,0,57,70,211,"[-0.08276944  0.33783621  0.03870124  0.07243729  0.22722459 -0.02227074
 -0.37494516 -0.17696645  0.05882719  0.08348684  0.10970804 -0.13815846
 -0.17564665 -0.01889909  0.32000288 -0.09672221  0.07910567  0.22293619
 -0.3507892  -0.179707    0.27518129 -0.06152845 -0.01735358  0.12746528
  0.07669449 -1.03268888 -0.34273357 -0.42900109 -0.13914873 -0.05632992
  2.74271866  0.15953961 -0.15497413 -0.30338944  0.11821785  0.02720855
  0.01860215  0.40898732 -0.03878216 -0.2991138  -0.1315431  -0.25315293
  0.0392973   0.1477033  -0.25813515  0.13042692  0.08901066 -0.09043538
 -0.09125283 -0.00668396]"
One Young World Lead2030 Challenges,25,34,5,70,148,"[ 1.91456248e-01  3.40579641e-01  1.31058421e-01  1.35508170e-02
  2.30773382e-01  9.81722046e-02 -4.02575124e-01 -4.13396844e-01
  1.12744801e-01  2.10714702e-01  3.13771717e-02  3.13842209e-02
 -3.46337370e-01 -4.87489855e-02  2.43487310e-01 -1.47734280e-01
  4.86636800e-01  4.32909536e-02 -2.67528695e-01 -1.08859203e-01
  2.62849384e-01 -1.56430467e-02 -1.83319501e-02 -1.70748033e-01
  4.84496394e-02 -1.01550889e+00 -1.31709108e-01 -5.11359311e-01
 -1.62935739e-01  1.06964894e-01  2.90754966e+00  3.78852205e-01
 -2.20409624e-01 -2.29383094e-01 -9.86166106e-02 -9.04947976e-02
 -1.45837547e-01  2.69359537e-01 -7.30944752e-02 -3.19131892e-01
 -2.31176390e-01 -2.72432890e-01  1.88142598e-01 -1.48319873e-01
 -1.78324295e-02  1.14787364e-01 -2.12824435e-01  1.36131249e-01
  5.79909166e-02  1.98874749e-03]"
UNESCO Youth Eyes on the Silk Roads Photo Contest 2019,25,0,0,70,148,"[ 3.94036275e-02  4.31358970e-01 -2.40395873e-01  4.65573280e-02
  4.49304025e-02  1.54687314e-02 -2.42862285e-01 -4.63367590e-01
  1.53597466e-01 -1.63247773e-02  1.19549278e-01 -1.47788389e-01
 -1.23905166e-01  5.05781173e-02  1.64878104e-01 -7.30609553e-03
  1.35077551e-01  6.94666070e-02 -2.27765677e-01 -9.69352678e-02
  3.01609984e-01 -1.78819375e-03 -2.78992507e-02  9.54863550e-02
  8.07236394e-02 -8.51242411e-01 -2.63845553e-01 -2.33573239e-01
 -5.51000184e-02  7.01285344e-02  2.59710577e+00  2.51293375e-01
 -1.97744593e-01 -5.21724193e-01 -1.64483589e-01  1.04116729e-01
 -1.06099563e-01  2.48233373e-01 -3.60430034e-01 -1.83691585e-01
 -1.00128114e-01 -2.47560730e-01  2.28935615e-01 -1.13592591e-01
 -4.03926882e-02  1.68078098e-01  9.75595628e-02 -1.70143965e-02
  1.61391227e-02 -1.37134240e-01]"
#IdeasChangeLives – Global Innovation Challenge 2020 by the British Council,25,62,0,70,148,"[ 3.49061272e-01  1.73852349e-01  8.10284898e-02 -8.67229773e-02
  4.05350489e-01  7.03679776e-02 -3.99605247e-01 -2.16659643e-01
  4.99588914e-02  3.12243234e-01 -4.33532794e-02  4.86832761e-02
 -1.50832737e-01  7.61833042e-02  2.05073422e-01  1.18834048e-01
  3.58600650e-01 -7.28714239e-02 -1.96779289e-02 -4.87620118e-01
  6.54973206e-02  1.27206906e-01  3.65774190e-02  1.76545562e-02
  3.03016560e-01 -1.13449279e+00 -3.00981193e-01 -1.41251256e-01
  3.00547394e-01 -1.02111342e-01  2.91930626e+00  3.62545205e-01
 -1.49602765e-01 -5.73052300e-01 -8.31910018e-02 -6.54040240e-02
 -3.24261687e-01  2.71190011e-01 -1.20946580e-01 -3.42549980e-01
 -1.89470040e-01 -1.03842909e-01  9.00129981e-02  2.05530167e-01
  1.15512930e-01  7.45253025e-02  1.63694424e-02  2.49289629e-01
  1.45297705e-03  1.44477440e-01]"
SDGs&Her Competition 2020 for Women Entrepreneurs,25,62,0,70,148,"[ 0.0311385   0.46707136 -0.17507002  0.15656275 -0.06037668 -0.28104127
 -0.35637706 -0.41952888  0.21865302 -0.20163668  0.11560058 -0.14203974
 -0.18564567 -0.09180694  0.15176646  0.02613219  0.26635894  0.15625517
 -0.28744821  0.13650238  0.3183554   0.00764533  0.01992417  0.175689
 -0.07078626 -0.91019883 -0.09859874 -0.41803708 -0.41341435  0.12715908
  2.64243373  0.3134775  -0.11720528 -0.35286101 -0.13385351 -0.1573677
 -0.23625212  0.138013   -0.20320611 -0.16911657 -0.26180359 -0.24818857
  0.38123336 -0.29283417 -0.02518674  0.26058812 -0.04878371  0.05497635
 -0.10838271  0.05701691]"
"CISCO Global Problem Solver Challenge 2020 – $100,000 Grand Prize",25,62,38,70,148,"[ 0.16973704  0.1331095   0.32724026  0.01966289  0.03392247  0.00882064
 -0.26862877 -0.443559    0.04908917  0.22975175  0.11206309  0.06703435
 -0.26349254 -0.01877172  0.15156733  0.18001899  0.13993873  0.12284647
 -0.05113513 -0.23631388  0.22128184 -0.08395493 -0.03467499  0.11206966
  0.25938845 -1.04684441 -0.23465363 -0.46480241  0.12389426  0.07416979
  2.70503315  0.35868944 -0.14739111 -0.57906085 -0.16707821 -0.12602952
 -0.30410687  0.20819775 -0.01154379 -0.27615924 -0.18470519 -0.24387062
  0.12473876  0.20516491 -0.02969363  0.28252343  0.14641901  0.17376002
 -0.00323226  0.1257535 ]"
Harvard Graduate School of Design’s 2020 Wheelwright Prize,25,10,14,70,148,"[-0.0323149   0.4726795  -0.01333983 -0.16232561  0.08202948  0.02757352
 -0.39726039 -0.37920053  0.03092774  0.04973683  0.02962149 -0.10218189
 -0.07110009 -0.08780058  0.31420534 -0.05754949  0.1444518   0.13772287
 -0.23645209 -0.13139234  0.43923723  0.0145269  -0.1222428  -0.14940862
  0.02722995 -0.87181081 -0.17700105 -0.51128544 -0.39444379  0.06390267
  2.27207881  0.05192395 -0.3059401  -0.54978415  0.03483754 -0.04690871
  0.15114155  0.45033215 -0.0085158  -0.23571454 -0.0427987  -0.29873102
  0.1433227   0.11791304 -0.21638262  0.03058461  0.04335065  0.19584543
 -0.18867303  0.16557343]"
All About Photo Awards 2020,25,0,0,70,148,"[-0.16238677  0.72486917  0.1810388   0.09581173  0.2799826  -0.16472305
 -0.34932936 -0.38562648  0.19062576 -0.0414076  -0.20428759 -0.06345565
 -0.06793804 -0.08986374  0.62949678 -0.3461902  -0.06378576 -0.03465643
 -0.4805475  -0.32485276  0.55415312 -0.02859889  0.12424917 -0.05722104
  0.00265485 -0.80861286 -0.70583392 -0.44635662 -0.41310203 -0.09929651
  2.19623637  0.10056294 -0.24115349 -0.25785493 -0.07930162  0.05546424
  0.21733971  0.20043547 -0.15196516 -0.48532369  0.36845634 -0.09027393
  0.08525015 -0.07352991 -0.28445057 -0.0182821   0.08429169  0.00815616
 -0.05415216  0.03551028]"
International Radio Playwriting Competition 2020 by British Council and BBC World,25,0,0,70,144,"[ 0.12859561  0.37086219 -0.18466813 -0.01834894 -0.00451852 -0.03208577
 -0.56513926 -0.22069387  0.08768927  0.13133478  0.03045591  0.13424102
 -0.18192185  0.21070828  0.17200805 -0.00494667  0.28714708  0.11463361
 -0.23157251 -0.25364832  0.48729361  0.2705407   0.04765328  0.32727088
  0.23534905 -1.01489467 -0.43170433 -0.35558169 -0.15418269 -0.10724299
  2.76948146  0.34017695 -0.04105642 -0.58848023 -0.11894624  0.04796918
 -0.11910983  0.06907099 -0.38099019 -0.23647519  0.02417906 -0.10148874
  0.09803656 -0.06089671  0.00277959  0.2994691  -0.08937252  0.12690454
 -0.21776355  0.0282916 ]"
2020 Science Without Borders® Challenge – International Student Art Contest,25,0,54,70,148,"[ 1.54200416e-02  5.12942530e-01 -1.40138662e-01 -2.08832925e-02
  1.41342383e-01 -3.22168899e-02 -3.52287286e-01 -3.20675827e-01
  1.79610618e-01  5.46238748e-02 -5.15596525e-02  3.85259013e-02
  7.81217983e-03 -5.95066661e-02  1.89696101e-01 -3.40074487e-03
  2.94232281e-01  1.56875848e-01 -2.62623281e-01 -1.34832920e-01
  2.72310409e-01  1.75752561e-01  1.07686635e-01 -7.44680707e-02
  1.68580419e-01 -1.07133183e+00 -2.98413265e-01 -4.04281028e-01
 -1.97406349e-01 -5.86334862e-02  2.56517802e+00  2.36121830e-01
 -3.61266846e-01 -6.07189861e-01 -9.28838284e-04  3.04152574e-02
 -3.38138297e-02  2.35519512e-01  7.14187209e-03 -2.22587447e-01
 -2.12815717e-01 -2.48171338e-01  1.02306434e-01  2.33732184e-01
 -1.07976693e-01  1.33890412e-01 -3.16648957e-02  4.24590562e-02
 -1.33793528e-02  4.29993816e-02]"
The Queen’s Commonwealth Essay Competition 2020,25,0,56,70,148,"[-0.07157905  0.42434187 -0.11774913 -0.23878748  0.16858069  0.07034498
 -0.29860175 -0.31967478 -0.01886097  0.01342949  0.10855126  0.08524331
 -0.05018607 -0.05651084  0.17871665  0.00495233  0.17891076  0.05833416
 -0.13475481 -0.16033043  0.30102054  0.17735257  0.13626326  0.08740276
  0.22143414 -1.03316452 -0.36285493 -0.53243782 -0.13953552  0.0773285
  2.69166023  0.37302264 -0.18454594 -0.61119178 -0.09426833 -0.07361215
 -0.09422543  0.09987346 -0.22476158 -0.21276606 -0.21872995 -0.29415625
  0.23765531  0.12736785 -0.07942651  0.13881246 -0.15811393  0.00428321
 -0.01431415 -0.00575754]"
IGNITE 2019: Agrobusiness Fellowships for African Women,60,62,0,267,148,"[ 2.08242122e-01  7.38614665e-02  1.60693372e-01 -4.02194920e-02
 -8.75312807e-02  8.20101781e-03 -4.29477734e-01 -2.32608580e-01
  3.63664890e-02  1.36088387e-01  2.35773344e-02 -4.65746319e-02
 -1.00692694e-01  8.96335108e-02  1.52742456e-01  1.58613293e-01
  1.38409756e-01  2.22953412e-01 -6.27834788e-02 -2.76621084e-01
  3.26287996e-01 -1.72429417e-02 -4.40100331e-02  1.06383070e-01
  7.09067291e-02 -8.10428288e-01 -2.37508630e-02 -2.59227894e-01
  2.41445595e-01  4.15070363e-02  2.30500510e+00  4.67288790e-01
 -1.39479296e-01 -3.90086380e-01 -1.13801930e-02  1.12594711e-01
 -3.26639431e-01  2.43899044e-01 -4.12334944e-02 -2.02751929e-01
 -2.86093858e-01 -2.44753177e-01  1.36117046e-01  3.19625503e-01
 -2.13584417e-03 -1.14806281e-03  1.28867708e-01  2.33958871e-01
 -7.80567918e-02  8.57377365e-02]"
OIST Research Internship Program 2019 in Japan,60,10,14,70,102,"[ 7.90416519e-02  3.17124433e-01 -1.63790724e-01 -2.62805575e-01
  6.07100221e-02  4.86723775e-02 -3.45912297e-01 -2.72241945e-01
  2.17662262e-01 -2.71767456e-02  1.54448171e-01  3.10619766e-02
  6.02133356e-02 -1.10979297e-01  7.47899224e-02 -1.27684256e-01
 -1.07837120e-01  1.47274053e-01 -2.77181712e-02 -1.05392791e-01
  4.69773637e-01  1.41685848e-01  6.85115229e-02 -1.12536753e-01
  2.03987421e-03 -9.57615956e-01 -1.35137450e-01 -6.09801376e-01
 -3.28026931e-01  1.12984455e-02  2.59513340e+00  1.87412311e-01
 -2.09055876e-01 -8.38895707e-01  1.45017830e-01  4.68241737e-02
 -1.05105103e-01  5.01777710e-01  2.05319661e-01 -1.37786808e-01
 -1.70393946e-01 -3.34599574e-01  1.48296048e-01  3.98402594e-01
 -1.61318639e-01 -3.61590707e-01  3.37918193e-01  4.50224207e-01
 -1.68590985e-01  4.65633488e-01]"
Learning Companions Fellowship 2019 in India,60,62,0,70,91,"[ 0.15586686  0.21717426 -0.15153815 -0.21263185  0.2580529  -0.08177273
 -0.3320865  -0.19097166  0.13289711  0.19857994  0.07590159  0.00335865
 -0.06915856  0.03817613 -0.01700939 -0.08106219  0.31718517  0.17019933
  0.18839249 -0.30061049  0.26234074  0.35158106 -0.08086766  0.15236832
  0.13875323 -0.94161243 -0.15806341 -0.48639878  0.09101064 -0.07856752
  2.89794215  0.50324039 -0.1617421  -0.79969219 -0.02447514  0.30496257
 -0.26489991  0.28955771 -0.17797066 -0.17637185 -0.2037274  -0.24310267
  0.14735363  0.19966928  0.17184474 -0.11744743  0.03509698  0.20253656
 -0.11203422  0.2435584 ]"
YSEALI Professional Fellows Program Winter 2019 in USA,60,62,32,160,211,"[ 1.23233665e-01  2.35681287e-01 -8.38426671e-02 -1.48453119e-01
  7.84654602e-02 -2.30472973e-02 -3.01880061e-01 -3.89142571e-01
 -1.52454764e-02 -9.46377337e-02  3.92555424e-02 -1.59958181e-02
 -5.71153731e-02  1.32568534e-01 -1.15004355e-01 -4.61870645e-02
  2.13597821e-01  1.15962460e-01  2.14515413e-01 -2.13802643e-01
  3.14345620e-01  1.66559950e-01 -3.79739728e-02  5.88549858e-02
 -9.07725237e-02 -9.13350462e-01 -9.66886534e-02 -5.83175900e-01
 -3.12910096e-01  1.33102852e-01  2.77261284e+00  3.68018750e-01
 -2.55452380e-01 -7.09806427e-01 -1.27231903e-01  1.13822696e-02
 -2.90742221e-01  1.17729695e-01 -1.55187824e-01 -1.69320311e-01
 -2.73542670e-01 -3.18074066e-01  2.81447939e-01  1.74400118e-01
  9.66104925e-02  1.77816975e-03 -1.44203894e-01  3.18229893e-01
 -1.04121038e-01  1.72548406e-01]"
Fully Funded OSF Eurasia Programme Fellowships 2019/2020 at The University of Tartu in Estonia,60,31,23,106,67,"[ 1.12546347e-01  1.20334383e-02 -2.39773591e-01 -6.87608938e-02
 -7.78979297e-02  8.47829927e-02  1.74933573e-01 -3.42298236e-01
 -1.16621254e-02  1.71634951e-01  6.21995597e-02 -4.89453427e-02
 -1.78070442e-01  4.76241906e-02 -8.70043156e-02  4.42246325e-02
  2.54831559e-01 -4.78512587e-03  3.15868727e-01 -1.37449849e-01
  1.65631464e-02 -3.76785468e-02 -2.64986826e-02 -3.76140005e-02
  3.22286089e-04 -9.18507306e-01 -2.48303216e-01 -2.27824462e-01
  5.65328452e-02  4.87712773e-01  2.53614834e+00  1.42922667e-01
 -9.66855173e-03 -7.97660361e-01 -2.81100329e-01  1.41026598e-02
 -4.10977368e-01  1.65079623e-01 -3.15059204e-01 -1.24046163e-01
 -4.48582275e-01 -1.58659547e-01  2.88329165e-01  1.79516183e-01
 -1.16385712e-01  2.57138471e-01 -1.68601961e-01  2.57370773e-01
 -3.79564777e-02 -2.83732072e-02]"
2020 Awaji Youth Federation Fellowship in Japan,60,31,10,70,102,"[ 0.20757734  0.10110644 -0.10786777 -0.0640672   0.0505422   0.02273434
 -0.30033769 -0.10769772  0.20625426  0.01298044  0.22499462  0.10632538
  0.0423028   0.06307408 -0.04743954  0.07413081  0.1601163   0.19196983
  0.20194031 -0.1736091   0.22957518  0.18653385 -0.15117397 -0.03385623
  0.0998293  -0.77823029 -0.01055222 -0.43855672 -0.06420538  0.1007428
  2.28428705  0.33923946 -0.25164    -0.53570615 -0.05034931  0.0538472
 -0.16717857  0.12535445 -0.1576852  -0.22393748 -0.24399471 -0.36195843
  0.14591447  0.18759361 -0.04037279 -0.12819309 -0.08610524  0.2646449
 -0.1328403   0.15767869]"
